number,name,year,theme,themeGroup,subtheme,pieces,minifigs,rating,agerange_min,US_retailPrice
1,Small house set,1970,Minitalia,Vintage,,67,,0.0,,
2,Medium house set,1970,Minitalia,Vintage,,109,,0.0,,
3,Medium house set,1970,Minitalia,Vintage,,158,,0.0,,
4,Large house set,1970,Minitalia,Vintage,,233,,0.0,,
4,Mini House and Vehicles,1970,Samsonite,Vintage,Model Maker,,,0.0,,
078,Roadway Base Plate 50X50,1970,Samsonite,Vintage,Supplemental,1,,0.0,,
104,4.5V Replacement Motor,1970,Trains,Modern day,Supplemental / 4.5V,1,,0.0,,
126,Steam Locomotive (Push),1970,Trains,Modern day,4.5v,60,,0.0,,
157,4 Car Auto Transport,1970,Samsonite,Vintage,Model Maker,65,,0.0,,
242,Big Model Book,1970,Books,Miscellaneous,LEGO,,,0.0,,
271,Mini-House with Vehicles,1970,Samsonite,Vintage,Model Maker,89,,0.0,,
311,Remote Control Car Set,1970,Samsonite,Vintage,Model Maker,271,,0.0,,
312,Remote Control Supplement,1970,Samsonite,Vintage,Model Maker,1,,0.0,,
338,Ambulance,1970,LEGOLAND,Vintage,Vehicle,74,,0.0,,
345,House with Mini-Wheel Car,1970,Samsonite,Vintage,Model Maker,136,,0.0,,
346,Jumbo Jet,1970,Samsonite,Vintage,Model Maker,121,,0.0,,
347,Fire Station,1970,LEGOLAND,Vintage,Building,320,,0.0,,
347,Fire Station with Mini-Wheel Vehicles,1970,Samsonite,Vintage,Model Maker,216,,0.0,,
348,Mini-Wheel Car and Truck Set,1970,Samsonite,Vintage,Model Maker,211,,0.0,,
367,Mini Airport and Vehicle,1970,Samsonite,Vintage,Model Maker,233,,0.0,,
512,Building Set ,1970,Duplo,Pre-school,Basic Set,20,,0.0,,
513,Building Set ,1970,Duplo,Pre-school,Basic Set,29,,0.0,,
600,Ambulance,1970,LEGOLAND,Vintage,Vehicle,17,,0.0,,
601,Tow Truck,1970,LEGOLAND,Vintage,Vehicle,15,,0.0,,
602,Van with opening doors,1970,LEGOLAND,Vintage,Vehicle,24,,0.0,,
603,Veteran Car,1970,LEGOLAND,Vintage,Vehicle,32,,0.0,,
620,Fire engine with opening doors and ladder,1970,LEGOLAND,Vintage,Vehicle,40,,0.0,,
621,Articulated petrol tanker,1970,LEGOLAND,Vintage,Vehicle,43,,0.0,,
622,Parcels trolley,1970,LEGOLAND,Vintage,Vehicle,33,,0.0,,
623,Car and caravan,1970,LEGOLAND,Vintage,Vehicle,32,,0.0,,
708,2m Extension Cord for Points,1970,Trains,Modern day,Supplemental / 12V,1,,0.0,,
722,12V Electric Train with 2 Wagons,1970,Trains,Modern day,12V,151,,0.0,,
723,Diesel Locomotive,1970,Trains,Modern day,12V,95,,0.0,,
742,12v Transformer,1970,Trains,Modern day,Supplemental / 12V,1,,0.0,,
800,Gears. Motor and Bricks,1970,Universal Building Set,Basic,Gears,120,,0.0,,
801,Gear Set,1970,Universal Building Set,Basic,Gears,115,,0.0,,
802,Gear Supplement,1970,Universal Building Set,Basic,Gears,30,,0.0,,
102A,Front-End Loader,1970,LEGOLAND,Vintage,Vehicle,57,,0.0,,
445A,Lighting Device Pack with Improved Plugs (The Building Toy),1970,System,Basic,Supplemental,8,,0.0,,
707A,12V Train Replacement Parts Retailer Pack,1970,Trains,Modern day,Supplemental / 12V,,,0.0,,
WEETABIX1,Weetabix Castle,1970,LEGOLAND,Vintage,Promotional,471,,0.0,,
1,Mini-Wheel Model Maker No. 1 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,86,,0.0,,
2,Mini-Wheel Model Maker No. 2 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,74,,0.0,,
3,Mini-Wheel Model Maker No. 3 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,65,,0.0,,
4,Mini-Wheel Model Maker Set 4 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,,,0.0,,
5,Large house set,1971,Minitalia,Vintage,,307,,0.0,,
5,Mini-Wheel Model Maker Set 5 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,233,,0.0,,
6,Promotional Basic Set No. 6 (Kraft Velveeta),1971,Samsonite,Vintage,Basic set,77,,0.0,,
7,Promotional Basic Set No. 7 (Kraft Velveeta),1971,Samsonite,Vintage,Basic Set,159,,0.0,,
8,Promotional Basic Set No. 8 (Kraft Velveeta),1971,Samsonite,Vintage,Basic Set,301,,0.0,,
9,Promotional Basic Set No. 9 (Kraft Velveeta),1971,Samsonite,Vintage,Basic Set,550,,0.0,,
10,Promotional Basic Set No. 10 (Kraft Velveeta),1971,Samsonite,Vintage,Basic Set,101,,0.0,,
21,Truck,1971,Minitalia,Vintage,,33,,0.0,,
22,Car,1971,Minitalia,Vintage,,47,,0.0,,
23,Delivery truck,1971,Minitalia,Vintage,,64,,0.0,,
24,Train,1971,Minitalia,Vintage,,88,,0.0,,
101,Imagination Set 1,1971,Samsonite,Vintage,Basic set,290,,0.0,,
102,Imagination Set 2,1971,Samsonite,Vintage,Basic set,426,,0.0,,
103,Imagination Set 3,1971,Samsonite,Vintage,Basic set,576,,0.0,,
104,Imagination Set 4,1971,Samsonite,Vintage,Basic set,737,,0.0,,
105,Imagination Set 5,1971,Samsonite,Vintage,Basic set,917,,0.0,,
107,4.5V Reversible Power Unit,1971,Samsonite,Vintage,Model Maker,16,,0.0,,
110,Vehicle Accessory Pack,1971,Samsonite,Vintage,Supplemental,61,,0.0,,
111,Building Accessory Pack,1971,Samsonite,Vintage,Supplemental,111,,0.0,,
112,Lego Giant Base Plate,1971,Samsonite,Vintage,Supplemental,2,,0.0,,
128,Mobile Crane (Train Base),1971,Trains,Modern day,4.5V,23,,0.0,,
128,Mobile Crane (Plate Base),1971,Trains,Modern day,4.5V,38,,0.0,,
166,Vehicle Extra Parts Kit,1971,Samsonite,Vintage,Supplemental,61,,0.0,,
167,House and Garden Extra Parts Kit,1971,Samsonite,Vintage,Supplemental,111,,0.0,,
248,Factory with Conveyor Belt,1971,Samsonite,Vintage,Model Maker,248,,0.0,,
260,Dolls Living Room,1971,Homemaker,Vintage,,173,,0.0,,
261,Dolls Kitchen,1971,Homemaker,Vintage,,156,,0.0,,
348,Garage with Automatic Doors,1971,LEGOLAND,Vintage,Building,38,,0.0,,
349,Swiss Chalet,1971,LEGOLAND,Vintage,Building,81,,0.0,,
349,Mini-Wheel Construction Set,1971,Samsonite,Vintage,Model Maker,195,,0.0,,
350,Spanish Villa,1971,LEGOLAND,Vintage,Building,126,,0.0,,
351,Gravel Depot,1971,LEGOLAND,Vintage,Building,170,,0.0,,
360,Ambulance Kit,1971,Samsonite,Vintage,Model Maker,23,,0.0,,
361,Tow Truck Kit,1971,Samsonite,Vintage,Model Maker,24,,0.0,,
362,Delivery Van Kit,1971,Samsonite,Vintage,Model Maker,33,,0.0,,
363,Antique Car Kit,1971,Samsonite,Vintage,Model Maker,38,,0.0,,
371,Tipper Truck,1971,LEGOLAND,Vintage,Vehicle,48,,0.0,,
372,Tow Truck,1971,LEGOLAND,Vintage,Vehicle,54,,0.0,,
373,Ambulance,1971,LEGOLAND,Vintage,Vehicle,65,,0.0,,
374,Fire Engine,1971,LEGOLAND,Vintage,Vehicle,74,,0.0,,
375,Refrigerator Truck and Trailer,1971,LEGOLAND,Vintage,Vehicle,128,,0.0,,
376,Low loader with Excavator,1971,LEGOLAND,Vintage,Vehicle,92,,0.0,,
377,Crane w/Float Truck,1971,LEGOLAND,Vintage,Vehicle,91,,0.0,,
380,Village Set,1971,LEGOLAND,Vintage,Building,485,,0.0,,
604,Excavator,1971,LEGOLAND,Vintage,Vehicle,22,,3.7,,
605,Taxi,1971,LEGOLAND,Vintage,Vehicle,19,,0.0,,
608,Kiosk,1971,LEGOLAND,Vintage,Building,33,,0.0,,
630,Diplomat Set,1971,Samsonite,Vintage,Basic set,633,,0.0,,
640,Fire Truck,1971,LEGOLAND,Vintage,Vehicle,45,,0.0,,
642,Double Excavator,1971,LEGOLAND,Vintage,Vehicle,33,,0.0,,
643,Mobile Crane,1971,LEGOLAND,Vintage,Vehicle,35,,0.0,,
644,Double Tanker,1971,LEGOLAND,Vintage,Vehicle,61,,0.0,,
645,Milk Truck with Trailer,1971,LEGOLAND,Vintage,Vehicle,57,,0.0,,
646,Mobile Site Office,1971,LEGOLAND,Vintage,Vehicle,51,,0.0,,
647,Lorry With Girders,1971,LEGOLAND,Vintage,Vehicle,52,,0.0,,
648,Service Station,1971,LEGOLAND,Vintage,Building,55,,0.0,,
680,Low-Loader with Crane,1971,LEGOLAND,Vintage,Vehicle,61,,0.0,,
681,Low loader with 4 wheel excavator,1971,LEGOLAND,Vintage,Vehicle,62,,0.0,,
682,Low-Loader and Tractor,1971,LEGOLAND,Vintage,Vehicle,57,,0.0,,
683,Articulated Lorry,1971,LEGOLAND,Vintage,Vehicle,58,,0.0,,
695,Bulk Assortment Set,1971,Samsonite,Vintage,Basic set,,,0.0,,
795,"2 Large Baseplates, Red/Blue",1971,Universal Building Set,Basic,Supplemental,2,,0.0,,
796,"2 Large Baseplates, Green/Yellow",1971,Universal Building Set,Basic,Supplemental,2,,0.0,,
797,"2 Large Baseplates, Grey/White",1971,Universal Building Set,Basic,Supplemental,2,,0.0,,
798,"2 Medium Baseplates, Green",1971,Universal Building Set,Basic,Supplemental,2,,0.0,,
990,Trees and Signs (1971 version with granulated trees and 4 bricks),1971,Universal Building Set,Basic,Supplemental,12,,0.0,,
16197,Thinking with LEGO,1971,Books,Miscellaneous,LEGO,,,0.0,,
DELMONTE1,Del Monte Building Kit,1971,Samsonite,Vintage,Basic set,,,0.0,,
SAMSONITE,857 Piece Basic Set,1971,Samsonite,Vintage,Basic set,857,,0.0,,
SAMSONITE,920 Piece Motorized Basic Set,1971,Samsonite,Vintage,Basic set,920,,0.0,,
SAMSONITE,1252 Piece Motorized Basic Set,1971,Samsonite,Vintage,Basic set,1252,,0.0,,
SAMSONITE,1081 Piece Basic Set,1971,Samsonite,Vintage,Basic set,1081,,0.0,,
SAMSONITE,1241 Piece Basic Set,1971,Samsonite,Vintage,Basic set,1241,,0.0,,
130,Double Tipper Wagon,1972,Trains,Modern day,4.5/12V,20,,0.0,,
131,Passenger Coach,1972,Trains,Modern day,4.5/12V,67,,0.0,,
132,Port Crane and Flat Wagon,1972,Trains,Modern day,4.5/12V,60,,0.0,,
161,Battery Wagon,1972,Trains,Modern day,4.5/12V,8,,0.0,,
170,Push-along Play Train,1972,Trains,Modern day,4.5/12V,93,,0.0,,
171,Train Set without Motor,1972,Trains,Modern day,4.5/12V,147,,0.0,,
180,4.5V Train with 5 Wagons,1972,Trains,Modern day,4.5/12V,228,,0.0,,
181,"Train Set with Motor, Signals and Shunting Switch",1972,Trains,Modern day,4.5/12V,148,,0.0,,
220,Let's Play with LEGO,1972,Books,Miscellaneous,LEGO,,,0.0,,
262,Complete Children's Room Set,1972,Homemaker,Vintage,,259,,0.0,,
300,Jumbo Bricks,1972,Samsonite,Vintage,Jumbo Bricks,30,,0.0,,
352,Windmill and Lorry,1972,LEGOLAND,Vintage,Building,142,,0.0,,
353,Terrace House with Car and Garage,1972,LEGOLAND,Vintage,Building,152,,0.0,,
354,Police Heliport,1972,LEGOLAND,Vintage,Town,168,,0.0,,
355,Town Centre Set with Roadways,1972,LEGOLAND,Vintage,Town,336,,0.0,,
359,Environment Plate,1972,Basic,Basic,,1,,0.0,,
378,Tractor,1972,LEGOLAND,Vintage,Large Vehicle,34,,0.0,,
379,Car and Caravan,1972,LEGOLAND,Vintage,,93,,0.0,,
514,Pre-School Building Set,1972,Duplo,Pre-school,,17,,0.0,,
606,Tipper Lorry,1972,LEGOLAND,Vintage,Vehicle,22,,0.0,,
609,Aeroplane,1972,LEGOLAND,Vintage,,28,,0.0,,
649,Low loader with excavator,1972,LEGOLAND,Vintage,Vehicle,35,,0.0,,
650,Car with trailer and racing car,1972,LEGOLAND,Vintage,Vehicle,40,,0.0,,
651,Tow Truck and Car,1972,LEGOLAND,Vintage,Vehicle,40,,0.0,,
652,Forklift with Trailer,1972,LEGOLAND,Vintage,Vehicle,42,,0.0,,
684,Low-Loader Truck with Forklift,1972,LEGOLAND,Vintage,Vehicle,53,,0.0,,
685,Legoland Truck with Trailer,1972,LEGOLAND,Vintage,Town,51,,0.0,,
724,Diesel Locomotive with Crane Wagon and Tipper Wagon,1972,Trains,Modern day,4.5/12V,155,,0.0,,
803,"Gears, Bricks and Heavy Tires",1972,Universal Building Set,Basic,Gears,163,,0.0,,
1512,Denken mit Lego,1972,Dacta,Educational,,250,,0.0,,
1513,Denken mit Lego,1972,Dacta,Educational,,900,,0.0,,
1550,Sterling Super Caravelle,1972,LEGOLAND,Vintage,,49,,0.0,,
1551,Sterling Baggage Train,1972,LEGOLAND,Vintage,,49,,0.0,,
15102,Thinking with Lego,1972,Dacta,Educational,,250,,0.0,,
15103,Thinking with Lego,1972,Dacta,Educational,,900,,0.0,,
16221,Thinking with LEGO / Rules,1972,Books,Miscellaneous,LEGO,,,0.0,,
SAMSONITE,1047 Piece Basic Set,1972,Samsonite,Vintage,Basic set,1047,,0.0,,
SAMSONITE,846 Piece Basic Set,1972,Samsonite,Vintage,Basic set,846,,0.0,,
SAMSONITE,395 Piece Basic Set,1972,Samsonite,Vintage,Basic set,395,,0.0,,
SAMSONITE,665 Piece Basic Set,1972,Samsonite,Vintage,Basic set,665,,0.0,,
1,Basic Set,1973,Universal Building Set,Basic,,107,,0.0,,
2,Basic Set,1973,Universal Building Set,Basic,,184,,0.0,,
3,Basic Set,1973,Universal Building Set,Basic,,184,,0.0,,
4,Basic Set,1973,Universal Building Set,Basic,,230,,0.0,,
5,Basic Set,1973,Universal Building Set,Basic,,349,,0.0,,
6,Basic Set,1973,Universal Building Set,Basic,,349,,0.0,,
7,Basic Set,1973,Universal Building Set,Basic,,415,,0.0,,
8,Basic Set #8,1973,Universal Building Set,Basic,,776,,0.0,,
010,Pre-School Set,1973,Duplo,Pre-school,,17,,0.0,,
11,Small pre-school set,1973,Minitalia,Vintage,,32,,0.0,,
12,Medium pre-school set,1973,Minitalia,Vintage,,70,,0.0,,
13,Large pre-school set,1973,Minitalia,Vintage,,92,,0.0,,
14,Small house set,1973,Minitalia,Vintage,,93,,0.0,,
15,Large house set,1973,Minitalia,Vintage,,157,,0.0,,
16,City square,1973,Minitalia,Vintage,,,,0.0,,
17,Airport,1973,Minitalia,Vintage,,,,0.0,,
020,Building Set,1973,Duplo,Pre-school,,25,,0.0,,
030,Building Set,1973,Duplo,Pre-school,,29,,0.0,,
30,Small ship,1973,Minitalia,Vintage,,26,,0.0,,
31,Medium ship,1973,Minitalia,Vintage,,39,,0.0,,
32,Large ship,1973,Minitalia,Vintage,,57,,0.0,,
105,Building Set,1973,Universal Building Set,Basic,,149,,0.0,,
115,Building Set,1973,Universal Building Set,Basic,,190,,0.0,,
135,Building Set,1973,Universal Building Set,Basic,,338,,0.0,,
221,Idea Book No. 1,1973,Books,Miscellaneous,LEGO,,,0.0,,
270,"Grandfather Clock, Chair and Table",1973,Homemaker,Vintage,,47,,0.0,,
271,Baby's Cot and Cabinet,1973,Homemaker,Vintage,,49,,0.0,,
272,Dressing Table with Mirror,1973,Homemaker,Vintage,,32,,0.0,,
273,Bureau,1973,Homemaker,Vintage,,23,,0.0,,
290,Dining Suite,1973,Homemaker,Vintage,,114,,0.0,,
291,Blackboard and School Desk,1973,Homemaker,Vintage,,90,,0.0,,
292,Kitchen Sink and Cupboards,1973,Homemaker,Vintage,,59,,0.0,,
293,Piano,1973,Homemaker,Vintage,,131,,0.0,,
310,Tugboat,1973,LEGOLAND,Vintage,Boats,183,,0.0,,
311,Ferry,1973,LEGOLAND,Vintage,Boats,83,,0.0,,
312,Cargo Ship,1973,LEGOLAND,Vintage,Boats,59,,0.0,,
356,Italian Villa,1973,LEGOLAND,Vintage,,150,,0.0,,
357,Legoland Fire House,1973,LEGOLAND,Vintage,,218,,0.0,,
358,Rocket Base,1973,LEGOLAND,Vintage,,276,,4.3,,
381,Lorry and Fork Lift Truck,1973,LEGOLAND,Vintage,Vehicle,86,,0.0,,
382,Breakdown Truck and Car,1973,LEGOLAND,Vintage,,91,,0.0,,
383,Truck with Excavator,1973,LEGOLAND,Vintage,,112,,0.0,,
384,London Bus,1973,LEGOLAND,Vintage,Town,110,,4.1,,
410,Payloader,1973,LEGOLAND,Vintage,,26,,0.0,,
420,Police Car,1973,LEGOLAND,Vintage,Vehicle,19,,3.2,,
450,Fork lift,1973,LEGOLAND,Vintage,,46,,0.0,,
460,Rescue Units,1973,LEGOLAND,Vintage,,42,,0.0,,
508,Kindergarten Set,1973,Duplo,Pre-school,,,,0.0,,
515,Building set,1973,Duplo,Pre-school,,31,,0.0,,
540,Swiss villa,1973,LEGOLAND,Vintage,,155,,0.0,,
545,Conveyor Station,1973,LEGOLAND,Vintage,,170,,0.0,,
560,Police Heliport,1973,LEGOLAND,Vintage,Building,166,,0.0,,
570,Fire House,1973,LEGOLAND,Vintage,,218,,0.0,,
610,Vintage car,1973,LEGOLAND,Vintage,,41,,0.0,,
611,Police Car,1973,LEGOLAND,Vintage,Vehicle,19,,3.6,,
653,Ambulance and Helicopter,1973,LEGOLAND,Vintage,Vehicle,37,,3.3,,
654,Crane Truck,1973,LEGOLAND,Vintage,,36,,0.0,,
655,Mobile Hydraulic Hoist,1973,LEGOLAND,Vintage,,36,,0.0,,
686,Digger and Tippers,1973,LEGOLAND,Vintage,,70,,0.0,,
687,Caravelle Aeroplane,1973,LEGOLAND,Vintage,,49,,0.0,,
688,Shell Tanker,1973,LEGOLAND,Vintage,,63,,3.7,,
710,Wrecker with Car,1973,LEGOLAND,Vintage,,89,,0.0,,
730,Steam Shovel with Carrier,1973,LEGOLAND,Vintage,,101,,0.0,,
900,Universal Motor Set,1973,Basic,Basic,,32,,0.0,,
930,Red Bricks,1973,Basic,Basic,Supplementaries,45,,0.0,,
931,White Bricks,1973,Basic,Basic,Supplementaries,45,,0.0,,
932,Blue and Yellow Bricks,1973,Basic,Basic,Supplementaries,45,,0.0,,
933,Doors and Windows,1973,Basic,Basic,Supplementaries,38,,0.0,,
934,"Roof Bricks, 45°",1973,Basic,Basic,Supplementaries,55,,0.0,,
935,"Roof Bricks, 33°",1973,Basic,Basic,Supplementaries,43,,0.0,,
936,Wheels and Tyres,1973,Basic,Basic,Supplementaries,20,,0.0,,
937,Doors and Fences,1973,Basic,Basic,Supplementaries,34,,0.0,,
938,Hinges and Turntables,1973,Basic,Basic,Supplementaries,17,,0.0,,
939,"Flags, Trees and Road Signs",1973,Basic,Basic,Supplementaries,19,,0.0,,
940,"Flags, Signs and Trees",1973,Basic,Basic,Supplementaries,33,,0.0,,
SAMSONITE,88 Piece Set,1973,Samsonite,Vintage,Basic set,88,,0.0,,
125,Universal Building Set,1974,Universal Building Set,Basic,,234,,0.0,,
145,Universal Building Set,1974,Universal Building Set,Basic,,338,,0.0,,
196,Antique Car,1974,Building Set with People,Vintage,,115,,0.0,,
200,LEGO Family,1974,Building Set with People,Vintage,,49,,3.7,,
250,Aeroplane and pilot,1974,Building Set with People,Vintage,,90,,0.0,,
251,Windmill with miller and wife,1974,Building Set with People,Vintage,,92,,0.0,,
252,Locomotive with driver and passenger,1974,Building Set with People,Vintage,,121,,0.0,,
263,Kitchen,1974,Homemaker,Vintage,,257,,0.0,,
264,Living Room,1974,Homemaker,Vintage,,242,,0.0,,
265,Bathroom,1974,Homemaker,Vintage,,147,,0.0,,
266,Children's room,1974,Homemaker,Vintage,,235,,0.0,,
274,Colour TV and chair,1974,Homemaker,Vintage,,68,,0.0,,
275,Table and chairs,1974,Homemaker,Vintage,,92,,0.0,,
294,Wall unit,1974,Homemaker,Vintage,,63,,0.0,,
295,Secretary's desk,1974,Homemaker,Vintage,,128,,0.0,,
360,Gravel Works,1974,LEGOLAND,Vintage,,211,,0.0,,
361,Tea Garden Cafe,1974,LEGOLAND,Vintage,Town,209,,4.0,,
612,Tipper Truck,1974,LEGOLAND,Vintage,,23,,3.9,,
613,Bi-plane,1974,LEGOLAND,Vintage,Town,18,,0.0,,
614,Digger,1974,LEGOLAND,Vintage,,31,,0.0,,
656,Car and Caravan,1974,LEGOLAND,Vintage,,43,,4.0,,
657,Aircraft,1974,LEGOLAND,Vintage,,37,,0.0,,
658,Fire Engine,1974,LEGOLAND,Vintage,Vehicle,38,,0.0,,
689,Grabber,1974,LEGOLAND,Vintage,,46,,0.0,,
690,Shell Garage,1974,LEGOLAND,Vintage,,73,,0.0,,
691,Rescue Helicopter,1974,LEGOLAND,Vintage,Town,62,,0.0,,
723,Diesel Locomotive with DB sticker,1974,Trains,Modern day,4.5/12V,98,,0.0,,
725,Freight Train Set,1974,Trains,Modern day,4.5/12V,425,,0.0,,
741,Transformer 12V,1974,Trains,Modern day,Supplemental / 12V,1,,0.0,,
755,Left and Right Points,1974,Trains,Modern day,Supplemental / 12V,12,,0.0,,
756,Electric Crossing,1974,Trains,Modern day,Supplemental / 12V,5,,0.0,,
810,Gear set,1974,Universal Building Set,Basic,Gears,114,,0.0,,
811,Gear set,1974,Universal Building Set,Basic,Gears,177,,0.0,,
812,Gear Set,1974,Universal Building Set,Basic,Gears,60,,0.0,,
813,Tractor,1974,Universal Building Set,Basic,Gears,100,,0.0,,
941,Black and Clear Bricks,1974,Basic,Basic,Supplementaries,48,,0.0,,
1552,Sterling Boeing 727,1974,LEGOLAND,Vintage,,49,,0.0,,
1650,Maersk Line Container Ship,1974,LEGOLAND,Vintage,Boats,220,,0.0,,
75,PreSchool Set,1975,PreSchool,Pre-school,,16,,0.0,,
77,PreSchool Set,1975,PreSchool,Pre-school,,20,,0.0,,
077,Pre-School Set,1975,Duplo,Pre-school,,21,,0.0,,
78,PreSchool Set,1975,PreSchool,Pre-school,,32,,0.0,,
78,Basic Set,1975,Samsonite,Vintage,Basic set,330,,0.0,,
133,Locomotive,1975,Trains,Modern day,4.5/12V,87,,0.0,,
134,Mobile Crane and Wagon,1975,Trains,Modern day,4.5/12V,86,,0.0,,
136,Tanker Wagon,1975,Trains,Modern day,4.5/12V,83,,0.0,,
137,Passenger Sleeping Car,1975,Trains,Modern day,4.5/12V,82,,0.0,,
148,Station,1975,Trains,Modern day,4.5/12V,293,5,0.0,,
182,Train Set with Motor,1975,Trains,Modern day,4.5/12V,369,,0.0,,
190,Farm Set,1975,Building Set with People,Vintage,,526,,0.0,,
195,Airplane,1975,Building Set with People,Vintage,,89,,0.0,,
222,Building Ideas Book,1975,Books,Miscellaneous,LEGO,,,0.0,,
253,Helicopter and Pilot,1975,Building Set with People,Vintage,,49,,0.0,,
254,Family,1975,Building Set with People,Vintage,,103,,0.0,,
255,Farming Scene,1975,Building Set with People,Vintage,,120,,0.0,,
362,Windmill,1975,LEGOLAND,Vintage,,215,2,0.0,,
363,Hospital,1975,LEGOLAND,Vintage,,229,7,4.2,,
364,Harbour,1975,LEGOLAND,Vintage,,518,7,0.0,,
365,Wild West,1975,LEGOLAND,Vintage,,602,8,0.0,,
367,Space Module with Astronauts,1975,LEGOLAND,Vintage,,364,,3.8,,
390,1913 Cadillac,1975,Hobby Set,Vintage,,200,,4.1,,
391,1926 Renault,1975,Hobby Set,Vintage,,237,,4.2,,
392,Formula 1,1975,Hobby Set,Vintage,,197,,0.0,,
430,Biplane,1975,LEGOLAND,Vintage,,18,,3.9,,
480,Rescue Helicopter,1975,LEGOLAND,Vintage,,62,,0.0,,
490,Mobile Crane,1975,LEGOLAND,Vintage,,46,,0.0,,
516,Bricks and half bricks,1975,Duplo,Pre-school,,20,,0.0,,
517,Bricks and half bricks and arches,1975,Duplo,Pre-school,,121,,0.0,,
518,Bricks and half bricks and trolley,1975,Duplo,Pre-school,,17,,0.0,,
519,Bricks and half bricks and arches and trolley,1975,Duplo,Pre-school,,240,,0.0,,
520,Bricks and half bricks and two tolleys,1975,Duplo,Pre-school,,168,,0.0,,
521,Bricks and half bricks all colours,1975,Duplo,Pre-school,,640,,0.0,,
580,Brick Yard,1975,LEGOLAND,Vintage,,216,,0.0,,
615,Forklift,1975,LEGOLAND,Vintage,Vehicle,21,1,4.1,,
659,Police Patrol,1975,LEGOLAND,Vintage,,49,2,3.7,,
660,Air Transporter,1975,LEGOLAND,Vintage,,39,,0.0,,
692,Road Repair Crew,1975,LEGOLAND,Vintage,,57,2,0.0,,
693,Fire engine with firemen,1975,LEGOLAND,Vintage,,62,3,0.0,6,
694,Transport Truck,1975,LEGOLAND,Vintage,Vehicle,65,,0.0,,
760,London Bus,1975,LEGOLAND,Vintage,,110,,0.0,,
814,Tractor,1975,Building Set with People,Vintage,,93,,0.0,,
SUPSET1,Super Set,1975,Universal Building Set,Basic,,,,0.0,,
10,"Basic Building Set, 3+",1976,Basic,Basic,,152,,0.0,,
13,Basic set,1976,Samsonite,Vintage,Basic set,184,,0.0,,
20,"Basic Building Set, 3+",1976,Basic,Basic,,217,,0.0,,
30,"Basic Building Set, 3+",1976,Basic,Basic,,258,,0.0,,
40,"Basic Building Set, 3+",1976,Basic,Basic,,258,,0.0,,
50,"Basic Building Set, 3+",1976,Basic,Basic,,382,,0.0,,
55,Basic Set,1976,Samsonite,Vintage,Basic set,291,,0.0,,
74,PreSchool Set,1976,PreSchool,Pre-school,,20,,0.0,,
080,Police Station,1976,PreSchool,Pre-school,,28,4,0.0,,
081,Train Station,1976,PreSchool,Pre-school,,53,5,0.0,,
082,LEGOVille,1976,PreSchool,Pre-school,,66,7,0.0,,
107,Universal Motor,1976,Basic,Basic,Supplementaries,137,,3.5,,
108,Battery box,1976,Basic,Basic,,1,,0.0,,
146,Level Crossing,1976,Trains,Modern day,4.5/12V,68,1,0.0,,
147,Refrigerated Wagon,1976,Trains,Modern day,4.5/12V,115,2,0.0,,
149,Fuel Refinery,1976,Trains,Modern day,4.5/12V,328,3,0.0,,
156,Straight Track,1976,Trains,Modern day,4.5/12V,25,,0.0,,
157,Curved Track,1976,Trains,Modern day,4.5/12V,25,,0.0,,
159,Straight Track with Crossing,1976,Trains,Modern day,4.5/12V,25,,0.0,,
183,Train Set with Motor and Signal,1976,Trains,Modern day,4.5/12V,194,,0.0,,
194,Family,1976,Building Set with People,Vintage,,94,,0.0,,
197,Farm Set,1976,Building Set with People,Vintage,,120,,0.0,,
210,Cowboys,1976,Building Set with People,Vintage,,39,,0.0,,
211,Mother and baby with dog,1976,Building Set with People,Vintage,,46,,0.0,,
212,Scooter,1976,Building Set with People,Vintage,,23,,0.0,,
256,Police Officers and Motorcycle,1976,Building Set with People,Vintage,,86,,0.0,,
258,Zoo (with Baseboard),1976,Basic,Basic,,486,,0.0,,
314,Police Launch,1976,LEGOLAND,Vintage,Boats,53,2,3.1,,
315,Container Ship,1976,LEGOLAND,Vintage,Boats,95,,0.0,,
368,Taxi Garage,1976,LEGOLAND,Vintage,,156,2,4.2,,
369,Coast Guard Station,1976,LEGOLAND,Vintage,Building,275,5,0.0,,
370,Police Headquarters,1976,LEGOLAND,Vintage,Building,280,4,0.0,,
385,Jeep with Steering,1976,LEGOLAND,Vintage,Town,57,,0.0,,
386,Air Ambulance,1976,LEGOLAND,Vintage,,151,3,0.0,,
387,Excavator and Dumper,1976,LEGOLAND,Vintage,,159,,0.0,,
393,Norton Motorcycle,1976,Hobby Set,Vintage,,133,,0.0,,
394,Harley-Davidson 1000cc,1976,Hobby Set,Vintage,,143,,0.0,,
395,1909 Rolls-Royce,1976,Hobby Set,Vintage,,281,,3.9,,
396,Thatcher Perkins Locomotive,1976,Hobby Set,Vintage,,438,,0.0,,
425,Fork Lift,1976,LEGOLAND,Vintage,,21,1,0.0,,
435,Tipper Truck,1976,LEGOLAND,Vintage,,17,,3.4,,
